exercise_ssn,submission_id
00001-20503,138662182
00001-20503,138662186
00001-20504,138662208
00001-20504,138662212
00001-20504,138662213
00001-20505,138662227
00001-20505,138662231
00001-20506,138662234
00001-20506,138662254
00001-20506,138662258
00001-20507,138726114
00001-20507,138726116
00001-20508,138736625
00001-20509,138736676
00001-20509,138736684
00001-20510,138736374
00001-20510,138736388
00001-20511,138736397
00001-20512,138726111
00001-20512,138726112
00001-20513,138736419
00001-20514,138736464
00001-20515,138662261
00001-20519,138961374
00001-20519,138961378
00001-20519,138961389
00001-20519,138961393
00001-20519,138961397
00001-20519,138961405
00001-20519,138961419
00001-20522,138961484
00001-20522,138961485
00001-20523,138961508
00001-20524,138726086
00001-20525,138890932
00001-20527,138726087
00001-20528,138726113
00001-20529,138726136
00001-20529,138726137
00001-20529,138726138
00001-20529,138726139
00001-20530,138736016
00001-20530,138736020
00001-20531,138736059
00001-20532,138736073
00001-20533,138736086
00001-20534,138736257
00001-20534,138736258
00001-20534,138736276
00001-20535,138963448
00001-20536,138962507
00001-20536,138962525
00001-20536,138962536
00001-20537,138962557
00001-20538,138961450
00001-20539,138961455
00001-20540,138961474
00001-20541,138890938
00001-20542,138736346
00001-20543,138736352
00001-20544,138736794
00001-20545,138736822
00001-20545,138736827
00001-20545,138736831
00001-20546,138736847
00001-20546,138736854
00001-20547,138736908
00001-20548,138736916
00001-20549,139476206
00001-20550,139476210
00001-20551,139680187
00001-20552,139476266
00001-20553,139476275
00001-20553,139476277
00001-20554,140448961
00001-20555,139476348
00001-20556,139476362
00001-20557,139476368
00001-20558,139476471
00001-20559,139476490
00001-20560,139476496
00001-20561,139627703
00001-20561,139627706
00001-20561,139627707
00001-20562,139627701
00001-20563,139680221
00001-20563,139680226
00001-20564,139680245
00001-20565,139680249
00001-20566,140448945
00001-20567,140448948
00001-20568,140448950
00001-20571,140448959
00001-20572,138962102
00001-20572,138962113
00001-20572,138962115
00001-20573,139944727
00001-20574,139944733
00001-20575,139944734
00001-20576,139944735
00001-20591,138726096
00001-20592,138843932
00001-20593,138843975
00001-20594,138739508
00001-20594,138739516
00001-20594,138739523
00001-20595,138739528
00001-20595,138739531
00001-20596,138890534
00001-20597,138890537
00001-20598,139687584
00001-20598,139687903
00001-20598,139687916
00001-20598,139687923
00001-20598,139687949
00001-20598,139687952
00001-20599,139688468
00001-20599,139688480
00001-20599,139688486
00001-20599,139688490
00001-20599,139697196
00001-20599,139698906
00001-20599,139698917
00001-20600,139699001
00001-20600,139699012
00001-20600,139699117
00001-20601,139687966
00001-20601,139687972
00001-20602,139699651
00001-20602,139699657
00001-20603,139699677
00001-20604,139944783
00001-20604,139944784
00001-20605,139944794
00001-20605,139944795
00001-20605,139944800
00001-20605,139944808
00001-20605,139944809
00001-20605,139944810
00001-20605,139944814
00001-20606,138947468
00001-20606,138947469
00001-20608,139476258
00001-20609,139680217
00001-20609,139680218
00001-20610,139627711
00001-20611,139627720
00001-20611,139627722
00001-20612,139680250
00001-20613,139680251
00001-20614,139682085
00001-20615,139681113
00001-20615,139681114
00001-20616,139681127
00001-20616,139681129
00001-20617,139682095
00001-20618,139681147
00001-20619,139681165
00001-20620,139682102
00001-20621,139682144
00001-20622,139682172
00001-20624,139678700
00001-20625,139678667
00001-20643,139944726
00001-20644,139944736
00001-20645,139944737
00001-20646,139944776
00001-20647,139944779
00001-20648,139944742
00001-20649,139944744
00001-20651,139926747
00001-20652,140449115
00001-20652,140449116
00001-20654,139944310
00001-20655,139944748
00001-20655,139944751
00001-20656,139944752
00001-20656,139944753
00001-20660,139944757
00001-20660,139944763
00001-20661,139944766
00001-20661,139944767
00001-20661,139944815
00001-20665,139476614
00001-20665,139476628
00001-20666,139476915
00001-20666,139476925
00001-20667,139476975
00001-20668,138890604
00001-20669,138890620
00001-20670,138890646
00001-20670,138890657
00001-20671,138890670
00001-20673,139680256
00001-20679,140935642
00001-20756,139680253
00001-20756,139680254
00001-20756,139680255
00001-20757,138890681
00001-20758,138962393
00001-20768,139679592
00001-20768,139679688
00001-20768,139679692
00001-20768,139679695
00001-20768,139679699
00001-20768,139679759
00001-20768,139679761
00001-20769,138890705
00001-20807,138662326
00001-20807,138662329
00001-20807,138662330
00001-20807,138662346
00001-20807,138662351
00001-20807,138662386
00001-20807,138662393
00001-20807,138662434
00001-20807,138739556
00001-20807,138739573
00001-20807,138739576
00001-20807,138739577
00001-20807,138739579
00001-20808,138739581
00001-20809,138739584
00001-20812,138726083
00001-20813,138726085
00001-20814,138726103
00001-20814,138726104
00001-20814,138726105
00001-20815,138726108
00001-20816,138726097
00001-20817,138726098
00001-20820,138737098
00001-20820,138737103
00001-20820,138737114
00001-20821,138737146
00001-20840,139944811
00001-20843,139944812
00001-20847,138739415
00001-20848,138737248
00001-20848,138737316
00001-20848,138737323
00001-20848,138737386
00001-20848,138737391
00001-20848,138737400
00001-20871,140449350
00001-20871,140449351
00001-20872,140449104
00001-20872,140449106
00001-20872,140449107
00001-20872,140449109
00001-20873,140449139
00001-20873,140449142
00001-20873,140449144
00001-20873,140449145
00001-20875,140449354
00001-20876,140449117
00001-20876,140449118
00001-20876,140449119
00001-20877,140449121
00001-20878,140449344
00001-20879,140449345
00001-20879,140449346
00001-20879,140449347
00001-20879,140449348
00001-20879,140449349
00001-20882,140449358
00001-20882,140449359
00001-20883,140449362
00001-20883,140449363
00001-20889,139680190
00001-20889,139680192
00001-20890,140448963
00001-20891,140448965
00001-20892,140448967
00001-20893,140449074
00001-20894,140449075
00001-20894,140449081
00001-20894,140449084
00001-20895,140449094
00001-20895,140449095
00001-20895,140449097
00001-20895,140449128
00001-20896,140449130
00001-20897,140449132
00001-20898,140449134
00001-20921,139680252
00001-20922,139680203
00001-20922,139680210
00001-20923,139679941
00001-20924,139680143
00001-20927,139681553
00001-20928,139682129
00001-20929,139682210
00001-20929,139682216
00001-20929,139682221
00001-20930,139682271
00001-20931,139682313
00001-20931,139682320
00001-20931,139682343
00001-20931,139682345
00001-20932,139682052
00001-20934,139699753
00001-20934,139699760
00001-20934,139699766
00001-20934,139699768
00001-20934,139699774
00001-20934,139699775
00001-20934,139699776
00001-20934,139699790
00001-20934,139699887
00001-20936,139699810
00001-20936,139699818
00001-20936,139699877
00001-20936,139699880
00001-20936,139699881
00001-20938,139681196
00001-20938,139681206
00001-20939,139681346
00001-20939,139681437
00001-20939,139681445
00001-20939,139681452
00001-20939,139681455
00001-20939,139681471
00001-20941,139680265
00001-20941,139680266
00001-20941,139680267
00001-20941,139680268
00001-20941,139680269
00001-20941,139680270
00001-20941,139680273
00001-20942,139680275
00001-20943,139682045
00001-20944,139680257
00001-20944,139680258
00001-20944,139680259
00001-20944,139680260
00001-20944,139680261
00001-20944,139680262
00001-20944,139680263
00001-20945,139682071
00001-20946,139680264
00001-20950,138726107
00001-20960,140449355
00001-20960,140449356
00001-20960,140449357
00001-20963,138737195
00001-20965,139699283
00001-20965,139699287
00001-20967,138947470
00001-20968,138947479
00001-20969,138891061
00001-20969,138891066
00001-20969,138891070
00001-20969,138891077
00001-20969,138891088
00001-20969,138891094
00001-20969,138891101
00001-20969,138891103
00001-20969,138891108
00001-20969,138891110
00001-20969,138891113
00001-20969,138891115
00001-20969,138891116
00001-20969,138891117
00001-20969,138914157
00001-20969,138914215
00001-20970,138947476
00001-20970,138947477
00001-20971,138914434
00001-20971,138914489
00001-20971,138914627
00001-20971,138914716
00001-20972,138914947
00001-20973,138662264
